名称,平台,官方网站,功能描述
iBoysoft Data Recovery,Mac,https://setapp.com/apps/iboysoft-data-recovery,恢复已删除或丢失的文件
CleanShot X,Mac,https://setapp.com/apps/cleanshot,拍摄更好的截图和GIF
MindNode Classic,Mac,https://setapp.com/apps/mindnode,思维导图和头脑风暴
In Your Face,Mac,https://setapp.com/apps/in-your-face,获取全屏会议提醒
AlDente Pro,Mac,https://setapp.com/apps/aldente-pro,设置电池充电限制
One Switch,Mac,https://setapp.com/apps/one-switch,快速访问macOS功能
PDF Squeezer,Mac,https://setapp.com/apps/pdf-squeezer,无损压缩PDF文件
Elmedia Player,Mac,https://setapp.com/apps/elmedia-player,多功能媒体播放器
Mission Control Plus,Mac,https://setapp.com/apps/mission-control-plus,从Mission Control关闭窗口
Movist Pro,Mac,https://setapp.com/apps/movist-pro,播放所有视频格式
Hand Mirror,Mac,https://setapp.com/apps/hand-mirror,一键检查Mac摄像头
Goldie App,Mac,https://setapp.com/apps/goldie-app,测量设计中的黄金比例
iStat Menus,Mac,https://setapp.com/apps/istat-menus,监控CPU、GPU、传感器等
24 Hour Wallpaper,Mac,https://setapp.com/apps/24-hour-wallpaper,100+动态壁纸
Default Folder X,Mac,https://setapp.com/apps/default-folder-x,访问最近和收藏的文件
Pareto Security,Mac,https://setapp.com/apps/pareto-security,检查安全设置
SQLPro Studio,Mac,https://setapp.com/apps/sqlpro-studio,管理多个数据库管理系统
WiFi Explorer,Mac,https://setapp.com/apps/wifi-explorer,修复WiFi问题
Magic Window Air,Mac,https://setapp.com/apps/magic-window-air,尝试航拍屏保
Step Two,Mac,https://setapp.com/apps/step-two,简化两步验证
Be Focused,Mac,https://setapp.com/apps/be-focused,使用计时器管理待办事项
SSH Config Editor,Mac,https://setapp.com/apps/ssh-config-editor,管理SSH客户端配置文件
Awesome Habits,Mac,https://setapp.com/apps/awesome-habits,培养更好的习惯
Merlin Project Express,Mac,https://setapp.com/apps/merlin-project-express,管理大型项目
KeyKey Typing Tutor,Mac,https://setapp.com/apps/keykey-typing-tutor,提升打字速度
News Explorer,Mac,https://setapp.com/apps/news-explorer,创建完美的RSS订阅
SQLPro for SQLite,Mac,https://setapp.com/apps/sqlpro-for-sqlite,控制SQLite数据库
Mate Translate,Mac,https://setapp.com/apps/mate-translate,翻译任何内容
Forecast Bar,Mac,https://setapp.com/apps/forecast-bar,接收天气预警
App Tamer,Mac,https://setapp.com/apps/app-tamer,降低CPU使用率
Commander One,Mac,https://setapp.com/apps/commander-one,双窗格文件管理器
ChronoSync Express,Mac,https://setapp.com/apps/chronosync-express,同步和备份文件夹
Time Out,Mac,https://setapp.com/apps/time-out,提醒自己休息
Glyphs Mini,Mac,https://setapp.com/apps/glyphs-mini,编辑和管理图标设计
Asset Catalog Creator Pro,Mac,https://setapp.com/apps/asset-catalog-creator-pro,准备图标和应用资源
Mockuuups Studio,Mac,https://setapp.com/apps/mockuuups-studio,为所有设备生成模型
Core Shell,Mac,https://setapp.com/apps/core-shell,全功能SSH终端
Lofi Garden,Mac,https://setapp.com/apps/lofi-garden,一键播放lofi音乐
Swift Publisher,Mac,https://setapp.com/apps/swift-publisher,自助出版书籍或小册子
Cloud Outliner,Mac,https://setapp.com/apps/cloud-outliner,创建可视化大纲
Movie Explorer Pro,Mac,https://setapp.com/apps/movie-explorer-pro,管理电影收藏
Path Finder,Mac,https://setapp.com/apps/path-finder,复制、删除和同步文件
