名称,平台,评分,官方订阅价格,功能描述,官方网站,Setapp链接
2Do,Mac,95,49.99,强大的任务管理和待办事项应用，支持GTD方法论,https://www.2doapp.com/,https://setapp.com/apps/2do
AdLock,Mac,88,29.99,广告拦截器，保护隐私并提升浏览体验,https://adlock.com/,https://setapp.com/apps/adlock
AirBuddy,Mac,92,9.99,AirPods连接管理工具，显示电量和连接状态,https://v2.airbuddy.app/,https://setapp.com/apps/airbuddy
Almighty,Mac,85,19.99,多功能系统监控和优化工具,https://www.almightyapp.com/,https://setapp.com/apps/almighty
Antinote,Mac,78,0,简洁的笔记应用，专注于快速记录,https://antinote.app/,https://setapp.com/apps/antinote
AnyDroid,Mac,82,39.99,Android设备管理工具，传输和备份数据,https://www.imozing.com/anydroid/,https://setapp.com/apps/anydroid
App Tamer,Mac,86,14.99,应用程序CPU使用率控制工具,https://www.stclairsoft.com/AppTamer/,https://setapp.com/apps/app-tamer
AppWage,Mac,75,0,App Store销售数据分析工具,https://appwage.com/,https://setapp.com/apps/appwage
Archiver,Mac,90,19.99,专业的文件压缩和解压工具,https://archiverapp.com/,https://setapp.com/apps/archiver
Backtrack,Mac,88,19.99,录音工具，可以回溯录制之前的音频,https://www.backtrack.team/,https://setapp.com/apps/backtrack
Bartender,Mac,94,16,菜单栏图标管理工具，整理和隐藏图标,https://www.macbartender.com/,https://setapp.com/apps/bartender
Base,Mac,87,99,SQLite数据库管理工具,https://menial.co.uk/base/,https://setapp.com/apps/base
Batteries,Mac,83,9.99,设备电量监控工具，显示所有连接设备电量,https://www.fadel.io/batteries,https://setapp.com/apps/batteries
BetterZip,Mac,89,29.99,压缩文件管理工具，支持多种格式,https://macitbetter.com/,https://setapp.com/apps/betterzip
Bike,Mac,85,29.99,结构化写作和大纲工具,https://www.hogbaysoftware.com/bike/,https://setapp.com/apps/bike
BoltAI,Mac,91,20,AI助手工具，集成多个AI模型,https://boltai.com/,https://setapp.com/apps/boltai
Boom 3D,Mac,88,39.99,音频增强和3D音效工具,https://www.globaldelight.com/boom/,https://setapp.com/apps/boom-3d
Boom,Mac,86,19.99,系统音量增强工具,https://www.globaldelight.com/boom/,https://setapp.com/apps/boom
BusyCal,Mac,92,49.99,功能丰富的日历应用,https://www.busymac.com/busycal/,https://setapp.com/apps/busycal
ByDesign,Mac,80,0,设计工具和资源管理应用,https://bydesignapp.io/,https://setapp.com/apps/bydesign
Calendars,Mac,87,39.99,日历和任务管理应用,https://readdle.com/calendars,https://setapp.com/apps/calendars
Capto,Mac,90,29.99,屏幕录制和视频编辑工具,https://www.globaldelight.com/capto/,https://setapp.com/apps/capto
Chimeful,Mac,82,0,专注和冥想应用,https://chimeful.com/,https://setapp.com/apps/chimeful
Chronicle,Mac,84,49.99,账单提醒和财务管理工具,https://chronicleapp.com/,https://setapp.com/apps/chronicle
Clariti,Mac,78,0,邮件和日历整合工具,https://clariti.app/,https://setapp.com/apps/clariti
ClearVPN,Mac,85,9.99,简单易用的VPN工具,https://clearvpn.com/,https://setapp.com/apps/clearvpn
Clobbr,Mac,79,0,API性能测试工具,https://clobbr.app/,https://setapp.com/apps/clobbr
Clop,Mac,88,0,剪贴板图片优化工具,https://lowtechguys.com/clop/,https://setapp.com/apps/clop
Craft,Mac,93,9.99,结构化文档和笔记应用,https://www.craft.do/,https://setapp.com/apps/craft
Daily,Mac,81,0,时间跟踪和习惯养成应用,https://dailytimetracking.com/,https://setapp.com/apps/daily
Dash,Mac,95,29.99,API文档浏览器和代码片段管理器,https://kapeli.com/dash,https://setapp.com/apps/dash
Dato,Mac,89,4.99,菜单栏日期和时间工具,https://sindresorhus.com/dato,https://setapp.com/apps/dato
DevUtils,Mac,92,0,开发者工具集合,https://devutils.app/,https://setapp.com/apps/devutils
Diagrams,Mac,86,9.99,图表和流程图制作工具,https://diagrams.app/,https://setapp.com/apps/diagrams
Dialy,Mac,83,0,日记和反思应用,https://diarly.app/,https://setapp.com/apps/diarly
Downie,Mac,91,19.99,视频下载工具，支持多个平台,https://software.charliemonroe.net/downie/,https://setapp.com/apps/downie
Dropshare,Mac,87,24.99,文件共享和上传工具,https://dropshare.app/,https://setapp.com/apps/dropshare
Dropzone,Mac,88,9.99,拖拽文件处理工具,https://aptonic.com/,https://setapp.com/apps/dropzone
Due,Mac,90,19.99,提醒和计时器应用,https://www.dueapp.com/,https://setapp.com/apps/due
Elephas,Mac,89,0,AI写作助手,https://elephas.app/,https://setapp.com/apps/elephas
Endurance,Mac,84,19.99,电池续航优化工具,https://enduranceapp.com/,https://setapp.com/apps/endurance
Eter,Mac,82,0,时间跟踪应用,https://eter.co/,https://setapp.com/apps/eter
Euclid,Mac,85,0,几何绘图和数学工具,https://euclidapp.com/,https://setapp.com/apps/euclid
Expenses,Mac,86,29.99,费用跟踪和报销管理,https://www.expensesapp.com/,https://setapp.com/apps/expenses
Flinto,Mac,88,99,交互原型设计工具,https://www.flinto.com/,https://setapp.com/apps/flinto
Focus 2,Mac,87,0,专注和时间管理应用,https://focus-app.io/,https://setapp.com/apps/focus-2
Focus,Mac,85,0,网站和应用阻止工具,https://heyfocus.com/,https://setapp.com/apps/focus
Focused,Mac,83,0,专注工作应用,https://focused.app/,https://setapp.com/apps/focused
Folx,Mac,89,19.99,下载管理器,https://mac.eltima.com/download-manager.html,https://setapp.com/apps/folx
